店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
潮牛庄园·潮汕鲜牛肉火锅（中关村店）,海淀区通惠寺3号巴比伦酒店3楼（近地铁10号线海淀黄庄站A口）,潮汕牛肉火锅,88.0,4.2,897,中关村
宽板凳老灶火锅（永泰店）,海淀区后屯南路26号1-101-11,重庆火锅,102.0,4.2,219,清河
东来顺饭庄（上地华联店）,海淀区信息路BHG生活超市(上地店)4层,老北京火锅,105.0,4.4,41,上地
渡娘火锅（清河店）,海淀区清河一街60号一层109号底商,重庆火锅,90.0,4.5,199,清河
牛吾牛·日式火锅（五道口购物中心店）,海淀区成府路28号五道口购物中心5层,日式火锅,90.0,4.5,10763,五道口
重庆赵家院子佬火锅（北京总店）,海淀区彰化路33号一层东段（客串吧旁边）,重庆火锅,109.0,4.1,122,四季青
东来顺饭庄（紫竹桥店）,海淀区西三环北路25-2号（近紫竹桥北路）,老北京火锅,110.0,4.7,3255,紫竹桥
唇辣号重庆老火锅（双榆树店）,海淀区双榆树北路知春里九号楼东侧,重庆火锅,96.0,4.5,288,双榆树
呷哺呷哺（数码大厦店）,海淀区中关村南大街2号A座A8单元B1,小火锅,57.0,4.8,333,魏公村
老门框爆肚涮肉（宝盛里店）,海淀区宝盛里观景园21号楼一层109,老北京火锅,118.0,4.4,83,清河
黄门老灶火锅（蓝靛厂店）,海淀区蓝靛厂路1号17号楼（蓝靛厂路和蓝靛厂中路交叉口西50米路北）,重庆火锅,105.0,4.6,1523,四季青
朝天門重庆老火锅（羊蝎子）（北坞嘉园店）,海淀区四季青镇茶棚路北坞嘉园A地块27号楼配套公建B-2,重庆火锅,110.0,4.3,30,颐和园
葫芦花牛板筋火锅（西北旺店）,海淀区西北旺夏霖园（德政路和西北旺二街交叉口东北口）,四川火锅,54.0,5.0,80,西北旺
呷哺呷哺（苏州街店）,海淀区海淀南路亿方大厦二层,小火锅,56.0,4.8,244,中关村
巴四老城区炭火蛙锅（领展购物广场•中关村店）,海淀区丹棱街甲1号领展购物广场•中关村5层503-501号,炭火锅,86.0,4.8,1255,中关村
东来顺饭庄（中关村店）,海淀区中关村海淀大街36号彩和坊路海置创投大厦东侧门(地铁四号线中关村D口出，从海龙大厦一直往西走700米到彩和坊路即到，地铁十号线苏州站C口出往北1000米到彩和坊即到),老北京火锅,95.0,4.4,17461,中关村
呷哺呷哺（光耀东方店）,海淀区羊坊店路18号光耀东方商场2层,小火锅,49.0,4.5,371,公主坟/万寿路
滇釜火锅·能喝汤的火锅（车公庄店）,海淀区首体南路9号主语国际7号楼2楼（近地铁6号线白石桥南站E口）,云南火锅,98.0,4.6,4950,紫竹桥
付小姐在成都（六道口店）,海淀区清华东路25号（六道口地铁站A1出口）,串串香,77.0,4.7,713,五道口
